timestamp,atlantsolia_bensin95,atlantsolia_diesel,atlantsolia_bensin95_discount,atlantsolia_diesel_discount,costco_bensin95,costco_diesel,costco_bensin95_discount,costco_diesel_discount,n1_bensin95,n1_diesel,n1_bensin95_discount,n1_diesel_discount,ob_bensin95,ob_diesel,ob_bensin95_discount,ob_diesel_discount,olis_bensin95,olis_diesel,olis_bensin95_discount,olis_diesel_discount,orkan_bensin95,orkan_diesel,orkan_bensin95_discount,orkan_diesel_discount
2016-04-19T00:27:00Z,190.4,172.9,,,,,,,201.7,187.3,,,195.4,177.9,,,195.7,181.3,,,195.3,177.8,,
2016-04-25T12:45:00Z,,,,,,,,,204.7,190.3,,,,,,,,,,,,,,
2016-04-25T13:45:00Z,,,,,,,,,,,,,,,,,198.7,184.3,,,,,,
2016-04-25T14:00:00Z,,,,,,,,,,,,,198.4,180.9,,,,,,,,,,
2016-04-26T11:00:00Z,198.4,180.9,,,,,,,,,,,,,,,,,,,,,,
2016-04-26T11:45:00Z,193.4,175.9,,,,,,,,,,,,,,,,,,,,,,
2016-05-12T12:30:00Z,,,,,,,,,,,,,,,,,,,,,198.3,180.8,,
2016-05-17T09:00:00Z,,,,,,,,,,,,,201.4,183.9,,,201.7,187.3,,,,,,
2016-05-17T15:45:00Z,193.4,178.9,,,,,,,,,,,,,,,,,,,,,,
2016-05-17T16:00:00Z,198.4,183.9,,,,,,,,,,,,,,,,,,,,,,
2016-05-17T16:15:00Z,,,,,,,,,,,,,,,,,,,,,198.3,183.8,,
2016-05-17T16:30:00Z,,,,,,,,,207.7,192.3,,,,,,,,,,,,,,
2016-05-18T09:00:00Z,201.4,183.9,,,,,,,,,,,,,,,,,,,,,,
2016-05-18T09:15:00Z,,,,,,,,,,,,,,,,,201.7,186.3,,,,,,
2016-05-18T09:30:00Z,,,,,,,,,,,,,198.4,183.9,,,,,,,,,,
2016-05-18T11:15:00Z,196.4,178.9,,,,,,,,,,,201.4,183.9,,,,,,,,,,
2016-05-26T20:00:00Z,,,,,,,,,207.7,192.3,,,,,,,,,,,,,,
2016-05-27T09:30:00Z,,,,,,,,,,,,,,,,,204.7,189.3,,,,,,
2016-05-27T09:45:00Z,,,,,,,,,,,,,204.4,186.9,,,,,,,,,,
2016-05-27T13:30:00Z,,,,,,,,,,,,,,,,,,,,,201.3,183.3,,
2016-05-28T13:45:00Z,,,,,,,,,210.8,195.4,,,,,,,,,,,,,,
2016-05-30T08:45:00Z,204.4,186.9,,,,,,,,,,,,,,,,,,,,,,
2016-05-30T12:00:00Z,199.4,181.9,,,,,,,,,,,,,,,,,,,,,,
2016-05-31T10:15:00Z,,,,,,,,,210.5,193.4,,,,,,,,,,,,,,
2016-06-02T13:00:00Z,,,,,,,,,,,,,,,,,205.7,189.3,,,,,,
2016-06-03T15:30:00Z,,,,,,,,,,,,,,,,,204.7,189.3,,,,,,
2016-06-05T14:00:00Z,,,,,,,,,211.5,196.4,,,,,,,,,,,,,,
2016-06-05T16:00:00Z,,,,,,,,,211.5,196.4,,,,,,,,,,,,,,
2016-06-06T10:00:00Z,,,,,,,,,,,,,,,,,,,,,204.3,186.8,,
2016-06-06T18:15:00Z,,,,,,,,,,,,,,,,,205.5,190.4,,,,,,
2016-06-20T16:15:00Z,,,,,,,,,210.8,193.4,,,,,,,,,,,,,,
2016-06-28T16:30:00Z,,,,,,,,,,,,,,,,,205.5,187.4,,,,,,
2016-07-01T09:15:00Z,,,,,,,,,,,,,202.4,186.9,,,203.5,187.4,,,,,,
2016-07-01T11:30:00Z,,,,,,,,,,,,,,,,,,,,,202.3,186.8,,
2016-07-01T16:00:00Z,197.4,181.9,,,,,,,,,,,,,,,,,,,,,,
2016-07-06T18:15:00Z,,,,,,,,,208.6,192.9,,,,,,,202.6,186.9,,,,,,
2016-07-11T17:15:00Z,,,,,,,,,,,,,,,,,,,,,199.3,185.9,,
2016-07-11T18:30:00Z,194.4,180.9,,,,,,,,,,,,,,,,,,,,,,
2016-07-12T09:15:00Z,,,,,,,,,,,,,199.4,185.9,,,201.6,186.9,,,199.3,185.8,,
2016-07-13T11:15:00Z,,,,,,,,,205.8,191.9,,,,,,,,,,,,,,
2016-07-14T10:45:00Z,,,,,,,,,,,,,,,,,199.6,185.9,,,,,,
2016-07-14T11:00:00Z,,,,,,,,,,,,,197.4,184.9,,,,,,,,,,
2016-07-14T11:30:00Z,,,,,,,,,,,,,,,,,,,,,197.3,184.8,,
2016-07-14T11:45:00Z,192.4,179.9,,,,,,,,,,,,,,,,,,,,,,
2016-07-21T16:15:00Z,,,,,,,,,204.8,191.9,,,,,,,,,,,,,,
2016-07-21T16:30:00Z,,,,,,,,,,,,,,,,,198.8,185.9,,,,,,
2016-07-26T11:30:00Z,,,,,,,,,,,,,,,,,,,,,194.3,182.7,,
2016-07-26T12:00:00Z,191.4,179.8,,,,,,,,,,,,,,,,,,,,,,
2016-07-26T14:15:00Z,,,,,,,,,,,,,194.4,182.8,,,,,,,,,,
2016-07-26T14:30:00Z,,,,,,,,,,,,,,,,,196.7,183.9,,,,,,
2016-07-26T15:15:00Z,,,,,,,,,200.8,189.9,,,,,,,,,,,,,,
2016-07-26T18:30:00Z,,,,,,,,,200.8,189.8,,,,,,,,,,,,,,
2016-08-02T09:30:00Z,,,,,,,,,,,,,,,,,193.7,181.9,,,,,,
2016-08-02T09:45:00Z,,,,,,,,,,,,,191.4,180.8,,,,,,,,,,
2016-08-02T10:15:00Z,188.4,177.8,,,,,,,,,,,,,,,,,,,,,,
2016-08-02T10:45:00Z,,,,,,,,,,,,,,,,,,,,,191.3,179.7,,
2016-08-02T11:00:00Z,188.4,176.8,,,,,,,,,,,,,,,,,,,,,,
2016-08-02T13:30:00Z,,,,,,,,,,,,,191.4,179.8,,,,,,,,,,
2016-08-02T16:00:00Z,,,,,,,,,198.8,187.8,,,,,,,,,,,,,,
2016-08-05T00:30:00Z,,,,,,,,,,,,,,,,,192.8,181.8,,,,,,
2016-08-18T11:30:00Z,,,,,,,,,,,,,,,,,194.8,183.8,,,,,,
2016-08-19T16:30:00Z,,,,,,,,,200.8,191.8,,,,,,,,,,,,,,
2016-09-07T18:30:00Z,,,,,,,,,198.8,189.8,,,,,,,,,,,,,,
2016-09-24T12:00:00Z,,,,,,,,,198.8,189.8,,,,,,,,,,,,,,
2016-09-27T23:45:00Z,,,,,,,,,192.8,183.8,,,,,,,,,,,,,,
2016-09-29T13:15:00Z,,,,,,,,,,,,,,,,,192.8,183.8,,,,,,
2016-10-04T13:15:00Z,,,,,,,,,193.8,185.8,,,,,,,,,,,,,,
2016-10-04T14:45:00Z,,,,,,,,,,,,,192.9,181.8,,,194.3,185.8,,,,,,
2016-10-06T06:15:00Z,189.9,178.8,,,,,,,,,,,,,,,,,,,,,,
2016-10-06T08:30:00Z,,,,,,,,,,,,,,,,,,,,,192.8,181.7,,
2016-10-12T09:15:00Z,189.9,180.8,,,,,,,,,,,,,,,,,,,,,,
2016-10-12T16:15:00Z,,,,,,,,,,,,,,,,,193.8,185.8,,,,,,
2016-10-12T16:30:00Z,,,,,,,,,,,,,192.9,183.8,,,,,,,,,,
2016-10-14T10:45:00Z,189.9,178.8,,,,,,,194.8,187.8,,,193.9,183.8,,,194.8,187.8,,,,,,
2016-10-14T14:15:00Z,189.9,180.8,,,,,,,,,,,,,,,,,,,,,,
2016-10-14T14:30:00Z,,,,,,,,,,,,,,,,,,,,,192.8,183.7,,
2016-10-17T08:30:00Z,190.9,182.8,,,,,,,,,,,,,,,,,,,,,,
2016-10-17T09:15:00Z,,,,,,,,,,,,,193.9,185.8,,,,,,,,,,
2016-10-18T16:00:00Z,188.9,180.8,,,,,,,,,,,,,,,,,,,,,,
2016-10-20T10:00:00Z,,,,,,,,,,,,,194.9,187.8,,,195.8,189.8,,,,,,
2016-10-21T14:30:00Z,,,,,,,,,,,,,193.9,185.8,,,,,,,,,,
2016-10-21T14:45:00Z,,,,,,,,,,,,,,,,,194.8,187.8,,,,,,
2016-10-24T10:00:00Z,,,,,,,,,,,,,,,,,,,,,192.8,185.7,,
2016-10-24T10:30:00Z,,,,,,,,,,,,,,,,,,,,,193.8,185.7,,
2016-10-31T08:45:00Z,,,,,,,,,196.8,189.8,,,,,,,,,,,,,,
2016-10-31T10:00:00Z,192.9,184.8,,,,,,,,,,,,,,,,,,,,,,
2016-10-31T11:30:00Z,,,,,,,,,,,,,,,,,196.8,189.8,,,,,,
2016-10-31T11:45:00Z,,,,,,,,,,,,,195.9,187.8,,,,,,,,,,
2016-11-01T09:15:00Z,194.9,186.8,,,,,,,,,,,,,,,,,,,,,,
2016-11-01T09:30:00Z,,,,,,,,,,,,,,,,,,,,,195.8,187.7,,
2016-11-02T09:15:00Z,,,,,,,,,,,,,,,,,195.8,188.8,,,,,,
2016-11-02T09:30:00Z,,,,,,,,,,,,,194.9,186.8,,,,,,,,,,
2016-11-02T10:45:00Z,193.9,185.8,,,,,,,,,,,,,,,,,,,,,,
2016-11-02T11:00:00Z,,,,,,,,,,,,,,,,,,,,,194.8,186.7,,
2016-11-03T10:00:00Z,,,,,,,,,194.8,186.8,,,,,,,,,,,,,,
2016-11-03T12:00:00Z,,,,,,,,,,,,,,,,,,,,,194.5,186.5,,
2016-11-03T12:15:00Z,192.9,185.4,,,,,,,,,,,,,,,,,,,,,,
2016-11-03T13:00:00Z,,,,,,,,,,,,,,,,,,,,,193.8,186.3,,
2016-11-03T13:30:00Z,,,,,,,,,,,,,193.9,186.4,,,194.8,186.8,,,,,,
2016-11-04T09:30:00Z,189.9,182.4,,,,,,,,,,,,,,,,,,,,,,
2016-11-14T10:15:00Z,,,,,,,,,,,,,192.9,185.4,,,193.8,185.8,,,,,,
2016-11-14T11:30:00Z,188.9,181.4,,,,,,,,,,,,,,,,,,,,,,
2016-11-14T12:00:00Z,189.9,182.4,,,,,,,,,,,,,,,,,,,,,,
2016-11-14T12:15:00Z,,,,,,,,,192.8,185.8,,,,,,,,,,,,,,
2016-11-14T12:30:00Z,,,,,,,,,,,,,,,,,,,,,192.7,185.3,,
2016-11-14T13:45:00Z,188.9,181.4,,,,,,,,,,,,,,,,,,,,,,
2016-11-14T16:30:00Z,,,,,,,,,,,,,192.7,185.4,,,,,,,,,,
2016-11-14T16:45:00Z,,,,,,,,,,,,,,,,,,,,,192.6,185.3,,
2016-11-16T12:00:00Z,187.8,180.8,,,,,,,,,,,,,,,,,,,,,,
2016-11-16T12:45:00Z,,,,,,,,,,,,,,,,,,,,,191.7,184.7,,
2016-11-16T20:15:00Z,,,,,,,,,191.8,184.8,,,,,,,,,,,,,,
2016-11-17T09:30:00Z,,,,,,,,,,,,,,,,,191.8,184.8,,,,,,
2016-11-17T09:45:00Z,,,,,,,,,,,,,191.6,184.6,,,,,,,,,,
2016-11-17T10:00:00Z,,,,,,,,,,,,,,,,,,,,,191.5,184.5,,
2016-11-18T10:00:00Z,187.5,180.3,,,,,,,,,,,,,,,,,,,,,,
2016-11-18T10:45:00Z,187.3,180.3,,,,,,,,,,,,,,,,,,,,,,
2016-11-18T11:00:00Z,,,,,,,,,,,,,,,,,,,,,191.2,184.2,,
2016-11-22T09:15:00Z,,,,,,,,,,,,,191.3,184.3,,,,,,,,,,
